,file_name,timestamp,updates_num,diff_updates_num,withdrawls_num,diff_withdrawls_num,peers_num,diff_peers_num,origins_num,diff_origins_num,prefixes_num,diff_prefixes_num,avg_update_per_peer,avg_update_per_origin,avg_prefix_per_peer,avg_prefix_per_origin,new_prefixes_num,more_specific_num,origins_of_new_prefixes,peers_of_new_prefixes,origins_of_more_specific_prefixes,peers_of_more_specific_prefixes,new_peers_num,new_origins_num,Leak_type
127,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.0830.txt,830,36350,-5946,1272,-3142,5,0,702,282,9144,5908,7524,53,2525,13,9065,0,648,5,0,0,0,587,1
128,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.0845.txt,845,271874,235524,2372,1100,4,-1,4849,4147,36578,27434,68561,56,13920,7,36389,2,4738,4,2,1,0,4326,1
129,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.0900.txt,900,321264,49390,1973,-399,6,2,3948,-901,29773,-6805,53872,81,7863,7,29616,0,3864,6,0,0,2,203,1
130,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.0915.txt,915,306434,-14830,3350,1377,5,-1,4340,392,31643,1870,61956,71,9843,7,31436,0,4246,5,0,0,0,820,1
131,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.0930.txt,930,324418,17984,1589,-1761,5,0,4135,-205,30870,-773,65201,78,9620,7,30714,0,4042,5,0,0,0,458,1
132,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.0945.txt,945,328741,4323,9325,7736,5,0,4069,-66,29861,-1009,67613,83,9539,7,29625,0,3995,5,0,0,0,453,1
133,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.1000.txt,1000,206903,-121838,8488,-837,5,0,4343,274,32003,2142,43078,49,8988,6,31797,0,4227,5,0,0,0,605,1
134,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.1015.txt,1015,232736,25833,17707,9219,4,-1,3867,-476,27368,-4635,62610,64,10549,7,27114,0,3739,4,0,0,0,312,1
135,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.1030.txt,1030,114800,-117936,6405,-11302,4,0,3321,-546,23487,-3881,30301,36,8399,7,23183,7,3203,4,2,1,0,736,1
136,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.1045.txt,1045,35898,-78902,1777,-4628,4,0,2197,-1124,14100,-9387,9418,17,4040,6,13905,0,2109,4,0,0,0,311,0
137,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.1100.txt,1100,32887,-3011,2132,355,4,0,2216,19,14157,57,8754,15,3928,6,14010,0,2135,4,0,0,0,678,0
138,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.1115.txt,1115,14112,-18775,1456,-676,4,0,505,-1711,2374,-11783,3892,30,840,4,2261,0,433,4,0,0,0,279,0
139,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.1130.txt,1130,18600,4488,1790,334,5,1,1366,861,7132,4758,4078,14,1556,5,6938,0,1275,5,0,0,1,1183,0
140,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.1200.txt,1200,12070,-6530,1188,-602,4,-1,295,-1071,1182,-5950,3314,44,494,4,1068,0,222,4,0,0,0,199,0
141,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.1230.txt,1230,61051,48981,7403,6215,4,0,472,177,3324,2142,17113,145,1467,7,3152,0,389,4,0,0,0,353,0
142,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.1300.txt,1300,20292,-40759,1378,-6025,4,0,1209,737,6597,3273,5417,17,2068,5,6428,0,1143,4,0,0,0,1088,0
143,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.1400.txt,1400,24033,3741,922,-456,4,0,492,-717,3931,-2666,6238,50,1661,8,3766,0,416,4,0,0,0,383,0
144,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.1430.txt,1430,12493,-11540,1044,122,4,0,320,-172,1506,-2425,3384,42,568,4,1384,2,255,4,1,1,0,173,0
145,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.1500.txt,1500,12105,-388,850,-194,4,0,361,41,1772,266,3238,35,571,4,1706,0,304,4,0,0,0,267,0
146,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.1530.txt,1530,9424,-2681,892,42,4,0,351,-10,1481,-291,2579,29,516,4,1364,0,288,4,0,0,0,243,0
147,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.1600.txt,1600,13858,4434,973,81,4,0,310,-41,1865,384,3707,47,787,6,1786,0,259,4,0,0,0,189,0
148,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.1630.txt,1630,21693,7835,2467,1494,4,0,260,-50,1529,-336,6040,92,708,5,1417,0,159,4,0,0,0,135,0
149,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.1700.txt,1700,11117,-10576,987,-1480,4,0,293,33,1000,-529,3026,41,416,3,923,0,238,4,0,0,0,184,0
150,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.1730.txt,1730,20011,8894,1376,389,4,0,463,170,3833,2833,5346,46,1206,8,3769,0,403,4,0,0,0,331,0
151,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.1800.txt,1800,28128,8117,2181,805,4,0,1107,644,8574,4741,7577,27,2362,7,8464,5,1014,4,2,1,0,836,0
152,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.1830.txt,1830,13833,-14295,820,-1361,4,0,387,-720,2160,-6414,3663,37,799,5,2055,3,322,4,2,1,0,241,0
153,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.1900.txt,1900,11753,-2080,1051,231,4,0,254,-133,1107,-1053,3201,50,432,4,985,0,178,4,0,0,0,138,0
154,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.1930.txt,1930,17954,6201,1453,402,4,0,1105,851,7236,6129,4851,17,2019,6,7128,0,999,4,0,0,0,980,0
155,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.2000.txt,2000,20152,2198,1623,170,4,0,369,-736,2217,-5019,5443,59,1069,6,2103,0,302,4,0,0,0,262,0
156,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.2030.txt,2030,14241,-5911,1537,-86,4,0,269,-100,1216,-1001,3944,58,536,4,1140,0,215,4,0,0,0,140,0
157,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.2100.txt,2100,15781,1540,1426,-111,4,0,266,-3,1426,210,4301,64,621,5,1358,0,214,3,0,0,0,169,0
158,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.2130.txt,2130,17710,1929,2156,730,4,0,310,44,1313,-113,4966,64,538,4,1194,0,242,4,0,0,0,207,0
159,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.2200.txt,2200,16413,-1297,2031,-125,4,0,232,-78,1053,-260,4611,79,463,5,969,0,163,3,0,0,0,130,0
160,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.2230.txt,2230,13703,-2710,1517,-514,4,0,353,121,1619,566,3805,43,634,4,1519,0,288,4,0,0,0,254,0
161,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.2300.txt,2300,10599,-3104,789,-728,4,0,240,-113,956,-663,2847,47,426,4,868,0,179,4,0,0,0,139,0
162,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.2330.txt,2330,9855,-744,1067,278,4,0,181,-59,643,-313,2730,60,287,3,586,0,123,4,0,0,0,89,0
163,verizon12Aug2014from748to752/rrc03\updates.20140812.0030.txt,30,8060,179,1974,-432,18,3,316,147,1050,301,557,31,193,2,810,2,202,16,1,1,3,219,0
164,verizon12Aug2014from748to752/rrc03\updates.20140812.0100.txt,100,10144,2084,660,-1314,16,-2,204,-112,1659,609,675,52,385,8,1534,0,130,11,0,0,2,122,0
165,verizon12Aug2014from748to752/rrc03\updates.20140812.0130.txt,130,4318,-5826,672,12,15,-1,125,-79,281,-1378,332,39,71,2,184,0,69,11,0,0,0,53,0
166,verizon12Aug2014from748to752/rrc03\updates.20140812.0200.txt,200,7234,2916,1260,588,14,-1,153,28,588,307,606,55,136,4,483,0,95,9,0,0,0,92,0
167,verizon12Aug2014from748to752/rrc03\updates.20140812.0230.txt,230,5781,-1453,1384,124,15,1,182,29,1068,480,477,39,139,5,955,0,136,14,0,0,2,124,0
168,verizon12Aug2014from748to752/rrc03\updates.20140812.0300.txt,300,8161,2380,2526,1142,17,2,156,-26,877,-191,628,68,178,4,753,0,87,15,0,0,2,102,0
169,verizon12Aug2014from748to752/rrc03\updates.20140812.0330.txt,330,9287,1126,2113,-413,16,-1,136,-20,573,-304,712,83,123,3,450,0,78,12,0,0,1,75,0
170,verizon12Aug2014from748to752/rrc03\updates.20140812.0400.txt,400,8098,-1189,2180,67,16,0,234,98,1122,549,642,43,210,4,1001,0,167,12,0,0,1,170,0
171,verizon12Aug2014from748to752/rrc03\updates.20140812.0430.txt,430,16109,8011,2510,330,15,-1,345,111,2862,1740,1241,53,509,8,2746,0,286,12,0,0,0,273,0
172,verizon12Aug2014from748to752/rrc03\updates.20140812.0500.txt,500,18362,2253,2770,260,14,-1,1953,1608,9290,6428,1509,10,971,4,9174,0,1892,11,0,0,0,1875,0
173,verizon12Aug2014from748to752/rrc03\updates.20140812.0530.txt,530,12486,-5876,8354,5584,17,3,223,-1730,5712,-3578,1225,93,254,4,5603,0,143,14,0,0,3,118,0
174,verizon12Aug2014from748to752/rrc03\updates.20140812.0600.txt,600,13123,637,2197,-6157,15,-2,246,23,2455,-3257,1021,62,510,8,2349,0,187,12,0,0,1,169,0
175,verizon12Aug2014from748to752/rrc03\updates.20140812.0630.txt,630,14216,1093,1689,-508,13,-2,579,333,3323,868,1223,27,545,5,3242,0,526,11,0,0,0,499,0
176,verizon12Aug2014from748to752/rrc03\updates.20140812.0700.txt,700,12889,-1327,2314,625,14,1,204,-375,1098,-2225,1085,74,334,5,1022,0,150,12,0,0,1,121,0
177,verizon12Aug2014from748to752/rrc03\updates.20140812.0710.txt,710,12599,-290,2373,59,14,0,215,11,961,-137,1069,69,214,4,874,0,162,11,0,0,0,123,0
178,verizon12Aug2014from748to752/rrc03\updates.20140812.0720.txt,720,10291,-2308,1517,-856,13,-1,302,87,1439,478,908,39,251,4,1352,0,243,10,0,0,0,214,1
179,verizon12Aug2014from748to752/rrc03\updates.20140812.0725.txt,725,14190,3899,2165,648,13,0,233,-69,1643,204,1258,70,377,7,1571,0,172,11,0,0,1,102,1
180,verizon12Aug2014from748to752/rrc03\updates.20140812.0730.txt,730,19061,4871,4277,2112,15,2,242,9,1391,-252,1555,96,374,6,1299,0,185,13,0,0,2,87,1
181,verizon12Aug2014from748to752/rrc03\updates.20140812.0735.txt,735,11664,-7397,2304,-1973,13,-2,229,-13,909,-482,1074,60,282,3,814,0,178,11,0,0,0,105,1
182,verizon12Aug2014from748to752/rrc03\updates.20140812.0740.txt,740,10618,-1046,2132,-172,15,2,248,19,1105,196,850,51,235,4,1020,0,181,13,0,0,2,111,1
183,verizon12Aug2014from748to752/rrc03\updates.20140812.0745.txt,745,99548,88930,37292,35160,18,3,466,218,22733,21628,7602,293,5469,49,22631,0,368,16,0,0,4,332,1
184,verizon12Aug2014from748to752/rrc03\updates.20140812.0750.txt,750,163014,63466,155794,118502,21,3,1178,712,32608,9875,15181,270,4885,34,32502,0,969,16,0,0,3,865,1
185,verizon12Aug2014from748to752/rrc03\updates.20140812.0755.txt,755,41039,-121975,39150,-116644,21,0,850,-328,30723,-1885,3818,94,1153,14,30617,2,728,18,1,1,3,293,1
186,verizon12Aug2014from748to752/rrc03\updates.20140812.0800.txt,800,32820,-8219,12908,-26242,20,-1,735,-115,3962,-26761,2286,62,774,4,3844,0,629,16,0,0,1,370,1
187,verizon12Aug2014from748to752/rrc03\updates.20140812.0805.txt,805,91049,58229,16849,3941,21,1,4528,3793,31293,27331,5138,23,2400,6,31174,11,4277,16,3,4,3,4153,1
188,verizon12Aug2014from748to752/rrc03\updates.20140812.0810.txt,810,35234,-55815,9900,-6949,19,-2,694,-3834,4358,-26935,2375,65,727,5,4248,0,545,15,0,0,1,143,1
189,verizon12Aug2014from748to752/rrc03\updates.20140812.0815.txt,815,37578,2344,14584,4684,19,0,698,4,4477,119,2745,74,781,5,4374,0,562,16,0,0,1,301,0
190,verizon12Aug2014from748to752/rrc03\updates.20140812.0820.txt,820,25736,-11842,6861,-7723,18,-1,462,-236,2652,-1825,1810,70,653,5,2557,0,373,15,0,0,1,172,0
191,verizon12Aug2014from748to752/rrc03\updates.20140812.0825.txt,825,26648,912,5075,-1786,17,-1,547,85,3145,493,1866,57,731,5,3072,0,466,14,0,0,1,304,0
192,verizon12Aug2014from748to752/rrc03\updates.20140812.0830.txt,830,16262,-10386,4388,-687,17,0,442,-105,2643,-502,1214,46,469,6,2567,0,373,14,0,0,1,234,0
193,verizon12Aug2014from748to752/rrc03\updates.20140812.0835.txt,835,16049,-213,4676,288,17,0,515,73,2026,-617,1219,40,415,3,1949,0,440,16,0,0,3,268,0
194,verizon12Aug2014from748to752/rrc03\updates.20140812.0845.txt,845,15683,-366,4623,-53,21,4,509,-6,1836,-190,966,39,337,3,1760,0,440,15,0,0,4,332,0
195,verizon12Aug2014from748to752/rrc03\updates.20140812.0850.txt,850,13757,-1926,4403,-220,20,-1,424,-85,1987,151,908,42,329,3,1906,0,330,15,0,0,2,223,0
196,verizon12Aug2014from748to752/rrc03\updates.20140812.0900.txt,900,18352,4595,4861,458,15,-5,534,110,2359,372,1547,43,584,3,2280,0,456,12,0,0,0,370,0
197,verizon12Aug2014from748to752/rrc03\updates.20140812.0930.txt,930,15943,-2409,1985,-2876,17,2,395,-139,2025,-334,1054,45,377,5,1943,1,333,14,1,1,3,274,0
198,verizon12Aug2014from748to752/rrc03\updates.20140812.1000.txt,1000,15307,-636,3637,1652,16,-1,404,9,2555,530,1184,46,474,5,2448,0,335,12,0,0,1,298,0
199,verizon12Aug2014from748to752/rrc03\updates.20140812.1030.txt,1030,10783,-4524,2803,-834,16,0,363,-41,1573,-982,849,37,330,3,1473,0,288,14,0,0,1,263,0
200,verizon12Aug2014from748to752/rrc03\updates.20140812.1100.txt,1100,29070,18287,3359,556,16,0,608,245,3106,1533,2026,53,926,5,3018,0,525,13,0,0,2,507,0
201,verizon12Aug2014from748to752/rrc03\updates.20140812.1130.txt,1130,10034,-19036,1578,-1781,17,1,282,-326,886,-2220,683,41,229,3,796,0,206,15,0,0,3,169,0
202,verizon12Aug2014from748to752/rrc03\updates.20140812.1150.txt,1150,9526,-508,1751,173,16,-1,294,12,1027,141,704,38,217,3,943,0,227,12,0,0,1,198,0
203,verizon12Aug2014from748to752/rrc03\updates.20140812.1200.txt,1200,12130,2604,1230,-521,15,-1,375,81,1880,853,890,35,473,5,1778,0,315,11,0,0,1,238,0
204,verizon12Aug2014from748to752/rrc03\updates.20140812.1250.txt,1250,15587,3457,5581,4351,16,1,358,-17,2617,737,1323,59,402,5,2508,0,291,14,0,0,3,276,0
205,verizon12Aug2014from748to752/rrc03\updates.20140812.1300.txt,1300,12560,-3027,3952,-1629,18,2,242,-116,1312,-1305,917,68,352,5,1218,0,174,14,0,0,2,141,0
206,verizon12Aug2014from748to752/rrc03\updates.20140812.1330.txt,1330,12226,-334,3083,-869,18,0,438,196,1965,653,850,34,295,4,1867,0,379,15,0,0,2,345,0
207,verizon12Aug2014from748to752/rrc03\updates.20140812.1400.txt,1400,14146,1920,4691,1608,16,-2,289,-149,1770,-195,1177,65,421,5,1662,0,201,14,0,0,0,197,0
208,verizon12Aug2014from748to752/rrc03\updates.20140812.1430.txt,1430,11627,-2519,3601,-1090,17,1,339,50,2490,720,895,44,486,6,2379,0,271,13,0,0,2,250,0
209,verizon12Aug2014from748to752/rrc03\updates.20140812.1500.txt,1500,8252,-3375,2379,-1222,16,-1,219,-120,1297,-1193,664,48,263,5,1186,0,157,12,0,0,0,131,0
210,verizon12Aug2014from748to752/rrc03\updates.20140812.1530.txt,1530,33683,25431,8328,5949,18,2,331,112,2200,903,2333,126,506,6,2091,0,274,14,0,0,3,234,0
211,verizon12Aug2014from748to752/rrc03\updates.20140812.1600.txt,1600,8348,-25335,2123,-6205,15,-3,226,-105,1235,-965,698,46,259,4,1129,0,168,11,0,0,1,151,0
212,verizon12Aug2014from748to752/rrc03\updates.20140812.1630.txt,1630,10669,2321,3339,1216,15,0,291,65,1218,-17,933,48,246,3,1097,0,236,13,0,0,1,212,0
213,verizon12Aug2014from748to752/rrc03\updates.20140812.1700.txt,1700,10323,-346,3161,-178,14,-1,253,-38,1278,60,963,53,305,4,1177,5,183,12,1,1,0,172,0
214,verizon12Aug2014from748to752/rrc03\updates.20140812.1730.txt,1730,6183,-4140,1693,-1468,14,0,207,-46,847,-431,562,38,151,3,746,0,141,13,0,0,0,128,0
215,verizon12Aug2014from748to752/rrc03\updates.20140812.1800.txt,1800,15994,9811,6132,4439,14,0,300,93,2774,1927,1580,73,427,5,2672,0,209,12,0,0,0,229,0
216,verizon12Aug2014from748to752/rrc03\updates.20140812.1830.txt,1830,9621,-6373,2308,-3824,14,0,221,-79,1038,-1736,852,53,285,4,934,0,164,12,0,0,0,158,0
217,verizon12Aug2014from748to752/rrc03\updates.20140812.1900.txt,1900,10231,610,2392,84,16,2,253,32,2022,984,788,49,419,7,1915,0,175,13,0,0,2,185,0
218,verizon12Aug2014from748to752/rrc03\updates.20140812.1930.txt,1930,14333,4102,3895,1503,14,-2,264,11,2239,217,1302,69,414,8,2058,0,177,12,0,0,0,162,0
219,verizon12Aug2014from748to752/rrc03\updates.20140812.2000.txt,2000,21316,6983,3661,-234,15,1,549,285,4944,2705,1665,45,737,8,4819,0,484,13,0,0,1,468,0
220,verizon12Aug2014from748to752/rrc03\updates.20140812.2030.txt,2030,10900,-10416,2498,-1163,15,0,202,-347,1145,-3799,893,66,238,4,1028,0,137,12,0,0,1,118,0
221,verizon12Aug2014from748to752/rrc03\updates.20140812.2100.txt,2100,16964,6064,5382,2884,16,1,249,47,1714,569,1396,89,418,6,1600,0,176,13,0,0,2,169,0
222,verizon12Aug2014from748to752/rrc03\updates.20140812.2130.txt,2130,17596,632,3678,-1704,17,1,376,127,2443,729,1251,56,413,6,2317,0,312,13,0,0,3,282,0
223,verizon12Aug2014from748to752/rrc03\updates.20140812.2200.txt,2200,15020,-2576,6733,3055,15,-2,441,65,4076,1633,1450,49,495,4,3953,4,338,14,1,1,0,359,0
224,verizon12Aug2014from748to752/rrc03\updates.20140812.2230.txt,2230,9742,-5278,2278,-4455,16,1,228,-213,1163,-2913,751,52,271,4,1045,0,165,13,0,0,2,150,0
225,verizon12Aug2014from748to752/rrc03\updates.20140812.2300.txt,2300,48415,38673,6430,4152,16,0,4197,3969,29561,28398,3427,13,2591,7,29418,0,4034,13,0,0,2,4099,0
226,verizon12Aug2014from748to752/rrc03\updates.20140812.2330.txt,2330,8183,-40232,3019,-3411,16,0,323,-3874,1506,-28055,700,34,220,4,1383,0,222,12,0,0,1,182,0
227,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.0030.txt,30,57346,-17480,3050,935,15,1,457,-361,3880,-3311,4026,132,1100,8,1875,189,264,13,10,2,1,209,0
228,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.0100.txt,100,30032,-27314,3088,38,14,-1,382,-75,1526,-2354,2365,86,565,4,1009,6,253,12,1,1,0,196,0
229,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.0130.txt,130,32015,1983,1912,-1176,13,-1,434,52,2242,716,2609,78,908,5,1710,8,327,12,5,4,0,258,0
230,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.0201.txt,201,41022,9007,4596,2684,14,1,400,-34,2489,247,3258,114,1027,6,1972,1,291,13,1,1,1,220,0
231,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.0230.txt,230,69999,28977,2375,-2221,13,-1,599,199,4842,2353,5567,120,1729,8,2971,36,455,13,4,2,0,403,0
232,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.0300.txt,300,58407,-11592,5125,2750,14,1,682,83,4586,-256,4538,93,1283,6,2948,0,539,14,0,0,1,431,0
233,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.0330.txt,330,55260,-3147,3242,-1883,14,0,1999,1317,12032,7446,4178,29,1797,6,10364,13,1867,13,6,3,1,1737,0
234,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.0400.txt,400,46789,-8471,4440,1198,14,0,772,-1227,6989,-5043,3659,66,1425,9,5517,19,614,13,8,3,0,537,0
235,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.0430.txt,430,89831,43042,6438,1998,15,1,2418,1646,14569,7580,6417,39,2525,6,12780,43,2250,14,18,8,1,1948,0
236,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.0500.txt,500,64321,-25510,7223,785,15,0,760,-1658,5693,-8876,4769,94,1574,7,5037,18,578,14,5,5,0,458,0
237,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.0515.txt,515,46325,-17996,5110,-2113,14,-1,641,-119,5371,-322,3673,80,1468,7,4778,12,543,13,3,3,0,248,0
238,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.0530.txt,530,45940,-385,3133,-1977,14,0,586,-55,5290,-81,3505,83,1578,9,4031,8,457,14,1,1,1,285,0
239,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.0545.txt,545,51395,5455,3361,228,14,0,582,-4,5371,81,3911,94,1854,9,4730,33,477,13,4,5,1,338,0
240,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.0601.txt,601,50143,-1252,5324,1963,15,1,513,-69,3595,-1776,3697,108,1344,7,2955,6,399,14,3,4,1,319,0
241,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.0615.txt,615,71390,21247,5464,140,14,-1,599,86,5135,1540,5489,128,1801,8,4456,3,496,13,1,1,0,319,0
242,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.0630.txt,630,59853,-11537,4689,-775,14,0,804,205,5801,666,4610,80,1440,7,4082,23,656,13,1,2,0,500,0
243,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.0645.txt,645,108212,48359,5485,796,13,-1,828,24,6749,948,8745,137,2440,8,4664,6,650,13,2,3,0,442,0
244,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.0700.txt,700,88693,-19519,4331,-1154,13,0,1893,1065,14641,7892,7155,49,2709,7,12946,9,1756,13,3,2,0,1366,0
245,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.0715.txt,715,93758,5065,2987,-1344,14,1,2019,126,15785,1144,6910,47,2390,7,13918,5,1877,14,2,3,1,927,0
246,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.0730.txt,730,92332,-1426,5173,2186,14,0,1249,-770,8865,-6920,6964,78,2144,7,7111,11,1100,13,5,1,1,658,0
247,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.0745.txt,745,72987,-19345,4474,-699,14,0,1332,83,9795,930,5532,58,1993,7,8237,7,1188,14,5,3,1,950,0
248,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.0800.txt,800,76987,4000,6309,1835,14,0,1082,-250,6972,-2823,5949,76,1861,6,5448,2,946,13,1,1,1,613,0
249,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.0830.txt,830,128890,51903,10521,4212,15,1,1714,632,11114,4142,9294,81,3552,6,9942,11,1582,14,5,4,1,1374,0
250,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.0900.txt,900,105614,-23276,10045,-476,13,-2,1355,-359,10061,-1053,8896,85,3204,7,8871,9,1210,13,3,2,0,670,0
251,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.0930.txt,930,83342,-22272,4229,-5816,13,0,872,-483,6758,-3303,6736,100,2144,7,5113,4,729,13,3,3,0,606,0
252,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.1001.txt,1001,59322,-24020,3234,-995,13,0,617,-255,4822,-1936,4812,101,1319,7,3227,0,482,13,0,0,0,324,0
253,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.1030.txt,1030,67269,7947,5947,2713,14,1,565,-52,5516,694,5229,129,1656,9,3885,18,448,13,2,2,1,306,0
254,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.1100.txt,1100,62138,-5131,3389,-2558,14,0,1222,657,6866,1350,4680,53,1521,5,5155,90,1081,13,3,3,0,958,0
255,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.1130.txt,1130,77063,14925,7441,4052,14,0,871,-351,5704,-1162,6036,97,1635,6,3994,3,730,13,2,2,0,538,0
256,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.1200.txt,1200,86395,9332,4022,-3419,15,1,2258,1387,11161,5457,6027,40,2377,4,8054,80,2086,13,25,3,1,1913,0
257,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.1230.txt,1230,59649,-26746,2735,-1287,13,-2,1014,-1244,11437,276,4798,61,2059,11,9589,6,863,13,1,1,0,723,0
258,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.1300.txt,1300,36770,-22879,4113,1378,14,1,559,-455,3029,-8408,2920,73,883,5,2077,0,422,13,0,0,1,288,0
259,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.1330.txt,1330,93026,56256,6110,1997,14,0,711,152,5809,2780,7081,139,2321,8,5099,3,595,13,1,3,0,452,0
260,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.1400.txt,1400,92579,-447,3911,-2199,14,0,671,-40,6719,910,6892,143,2239,10,6029,1,569,13,1,1,0,418,0
261,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.1430.txt,1430,74021,-18558,4393,482,14,0,618,-53,3498,-3221,5601,126,1190,5,3154,6,524,13,2,1,0,355,0
262,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.1500.txt,1500,41439,-32582,4783,390,14,0,544,-74,2855,-643,3301,84,909,5,2498,0,461,13,0,0,0,323,0
263,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.1530.txt,1530,54525,13086,3200,-1583,15,1,704,160,5996,3141,3848,81,1448,8,5475,8,607,13,3,2,1,496,0
264,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.1600.txt,1600,54792,267,6508,3308,14,-1,518,-186,5272,-724,4378,118,1504,9,4014,4,414,13,1,1,0,330,0
265,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.1630.txt,1630,97501,42709,4890,-1618,13,-1,1556,1038,17207,11935,7876,65,3199,10,16326,17,1445,13,4,3,0,1264,0
266,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.1700.txt,1700,39889,-57612,2881,-2009,13,0,659,-897,4268,-12939,3290,64,1038,6,3922,0,559,13,0,0,0,420,0
267,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.1715.txt,1715,35868,-4021,2818,-63,13,0,580,-79,3377,-891,2975,66,978,5,2997,1,500,13,1,1,0,303,0
268,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.1730.txt,1730,38178,2310,2938,120,13,0,517,-63,3797,420,3162,79,947,7,3509,0,441,13,0,0,0,318,0
269,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.1745.txt,1745,43157,4979,3307,369,13,0,539,22,2994,-803,3574,86,1029,5,2694,1,450,13,1,1,0,372,0
270,Amazon30june2015from5to6pm/routeviews-eqix\updates.20150630.1801.txt,1801,36790,-6367,3763,456,13,0,353,-186,1671,-1323,3119,114,699,4,1393,0,271,13,0,0,0,175,0
